,worker_id,label,reward,value_surplus,seq_length,front_amount
472,434926,0,reward_12m_265,60,12m,265
473,434927,0,reward_12m_265,65,12m,265
474,434928,1,reward_12m_265,35,12m,265
475,434930,0,reward_12m_265,60,12m,265
476,434931,0,reward_12m_265,60,12m,265
477,434932,0,reward_12m_265,135,12m,265
478,434934,0,reward_12m_265,45,12m,265
479,434935,1,reward_12m_265,35,12m,265
480,434936,1,reward_12m_265,10,12m,265
481,434937,1,reward_12m_265,0,12m,265
482,434940,0,reward_12m_265,60,12m,265
483,434941,0,reward_12m_265,60,12m,265
484,434942,1,reward_12m_265,35,12m,265
485,434943,0,reward_12m_265,85,12m,265
486,434944,0,reward_12m_265,60,12m,265
487,434945,0,reward_12m_265,60,12m,265
488,434946,1,reward_12m_265,35,12m,265
489,434947,0,reward_12m_265,60,12m,265
490,434949,1,reward_12m_265,30,12m,265
491,434952,0,reward_12m_265,170,12m,265
492,434953,1,reward_12m_265,60,12m,265
493,434954,0,reward_12m_265,60,12m,265
494,434955,0,reward_12m_265,60,12m,265
495,434957,0,reward_12m_265,50,12m,265
496,434958,0,reward_12m_265,60,12m,265
497,434959,0,reward_12m_265,45,12m,265
498,434960,0,reward_12m_265,85,12m,265
499,434961,0,reward_12m_265,60,12m,265
500,434962,0,reward_12m_265,60,12m,265
501,434963,0,reward_12m_265,55,12m,265
502,434964,0,reward_12m_265,65,12m,265
503,434966,1,reward_12m_265,45,12m,265
504,434967,0,reward_12m_265,135,12m,265
505,434968,0,reward_12m_265,60,12m,265
506,434971,0,reward_12m_265,60,12m,265
507,434974,1,reward_12m_265,45,12m,265
508,434976,0,reward_12m_265,60,12m,265
509,434977,1,reward_12m_265,60,12m,265
510,434978,0,reward_12m_265,45,12m,265
511,434979,1,reward_12m_265,45,12m,265
512,434980,0,reward_12m_265,85,12m,265
513,434981,0,reward_12m_265,60,12m,265
514,434982,0,reward_12m_265,60,12m,265
515,434983,0,reward_12m_265,60,12m,265
516,434984,0,reward_12m_265,60,12m,265
517,434985,0,reward_12m_265,60,12m,265
518,434986,1,reward_12m_265,30,12m,265
519,434988,0,reward_12m_265,60,12m,265
520,434989,0,reward_12m_265,60,12m,265
521,434990,0,reward_12m_265,60,12m,265
522,434992,0,reward_12m_265,60,12m,265
523,434993,1,reward_12m_265,35,12m,265
524,434995,1,reward_12m_265,35,12m,265
525,434996,0,reward_12m_265,60,12m,265
526,434997,0,reward_12m_265,60,12m,265
527,434998,1,reward_12m_265,35,12m,265
528,434999,0,reward_12m_265,60,12m,265
529,435000,0,reward_12m_265,60,12m,265
530,435002,0,reward_12m_265,55,12m,265
531,435003,1,reward_12m_265,35,12m,265
532,435004,0,reward_12m_265,55,12m,265
533,435005,0,reward_12m_265,53,12m,265
534,435008,1,reward_12m_265,40,12m,265
535,435009,0,reward_12m_265,135,12m,265
536,435010,0,reward_12m_265,60,12m,265
537,435011,0,reward_12m_265,105,12m,265
538,435013,0,reward_12m_265,59,12m,265
539,435015,0,reward_12m_265,60,12m,265
540,435016,0,reward_12m_265,60,12m,265
541,435017,0,reward_12m_265,60,12m,265
542,435018,0,reward_12m_265,40,12m,265
543,435019,1,reward_12m_265,45,12m,265
544,435020,0,reward_12m_265,50,12m,265
545,435021,0,reward_12m_265,55,12m,265
546,435022,1,reward_12m_265,35,12m,265
547,435024,1,reward_12m_265,35,12m,265
548,435026,1,reward_12m_265,35,12m,265
549,435027,0,reward_12m_265,60,12m,265
550,435028,0,reward_12m_265,60,12m,265
551,435029,0,reward_12m_265,60,12m,265
552,435030,1,reward_12m_265,0,12m,265
553,435031,1,reward_12m_265,60,12m,265
554,435032,1,reward_12m_265,35,12m,265
555,435033,1,reward_12m_265,15,12m,265
556,435035,0,reward_12m_265,60,12m,265
557,435036,1,reward_12m_265,35,12m,265
558,435038,0,reward_12m_265,55,12m,265
559,435039,0,reward_12m_265,60,12m,265
560,435040,0,reward_12m_265,60,12m,265
561,435041,0,reward_12m_265,60,12m,265
562,435042,1,reward_12m_265,35,12m,265
563,435043,0,reward_12m_265,65,12m,265
564,435045,0,reward_12m_265,85,12m,265
565,435046,1,reward_12m_265,10,12m,265
566,435049,1,reward_12m_265,25,12m,265
567,435052,0,reward_12m_265,45,12m,265
568,435053,0,reward_12m_265,75,12m,265
569,435054,0,reward_12m_265,60,12m,265
570,435055,0,reward_12m_265,60,12m,265
571,435056,1,reward_12m_265,35,12m,265
572,435057,0,reward_12m_265,60,12m,265
573,435060,1,reward_12m_265,25,12m,265
574,435062,0,reward_12m_265,60,12m,265
575,435063,1,reward_12m_265,35,12m,265
576,435064,0,reward_12m_265,60,12m,265
577,435065,1,reward_12m_265,25,12m,265
578,435066,0,reward_12m_265,60,12m,265
579,435067,0,reward_12m_265,60,12m,265
580,435068,1,reward_12m_265,25,12m,265
581,435069,0,reward_12m_265,60,12m,265
582,435070,0,reward_12m_265,56,12m,265
583,435072,0,reward_12m_265,45,12m,265
584,435074,1,reward_12m_265,35,12m,265
585,435075,1,reward_12m_265,60,12m,265
586,435076,1,reward_12m_265,25,12m,265
587,435077,0,reward_12m_265,35,12m,265
588,435079,0,reward_12m_265,60,12m,265
589,435080,0,reward_12m_265,60,12m,265
590,435081,1,reward_12m_265,35,12m,265
591,435083,0,reward_12m_265,50,12m,265
592,435084,1,reward_12m_265,0,12m,265
593,435086,0,reward_12m_265,85,12m,265
594,435087,0,reward_12m_265,85,12m,265
595,435089,0,reward_12m_265,50,12m,265
596,435092,0,reward_12m_265,60,12m,265
597,435093,1,reward_12m_265,60,12m,265
598,435095,0,reward_12m_265,60,12m,265
599,435096,0,reward_12m_265,60,12m,265
600,435097,0,reward_12m_265,60,12m,265
601,435098,1,reward_12m_265,35,12m,265
602,435099,0,reward_12m_265,65,12m,265
603,435100,1,reward_12m_265,35,12m,265
604,435101,1,reward_12m_265,25,12m,265
605,435103,0,reward_12m_265,60,12m,265
606,435104,1,reward_12m_265,15,12m,265
607,435105,0,reward_12m_265,60,12m,265
608,435106,0,reward_12m_265,60,12m,265
609,435107,1,reward_12m_265,35,12m,265
610,435108,1,reward_12m_265,35,12m,265
611,435110,0,reward_12m_265,60,12m,265
612,435111,0,reward_12m_265,60,12m,265
613,435113,1,reward_12m_265,35,12m,265
614,435114,0,reward_12m_265,60,12m,265
615,435115,0,reward_12m_265,45,12m,265
616,435116,0,reward_12m_265,85,12m,265
617,435117,0,reward_12m_265,65,12m,265
618,435118,0,reward_12m_265,60,12m,265
619,435119,1,reward_12m_265,45,12m,265
620,435120,0,reward_12m_265,135,12m,265
621,435121,0,reward_12m_265,35,12m,265
622,435122,0,reward_12m_265,60,12m,265
623,435123,1,reward_12m_265,35,12m,265
624,435124,1,reward_12m_265,55,12m,265
625,435130,0,reward_12m_265,35,12m,265
626,435131,0,reward_12m_265,55,12m,265
627,435132,1,reward_12m_265,0,12m,265
